id,gender_rate
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,8
30,8
31,8
32,0
33,0
34,0
35,6
36,6
37,6
38,6
39,6
40,6
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,2
59,2
60,4
61,4
62,4
63,2
64,2
65,2
66,2
67,2
68,2
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,-1
82,-1
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,-1
101,-1
102,4
103,4
104,4
105,4
106,0
107,0
108,4
109,4
110,4
111,4
112,4
113,8
114,4
115,8
116,4
117,4
118,4
119,4
120,-1
121,-1
122,4
123,4
124,8
125,2
126,2
127,4
128,0
129,4
130,4
131,4
132,-1
133,1
134,1
135,1
136,1
137,-1
138,1
139,1
140,1
141,1
142,1
143,1
144,-1
145,-1
146,-1
147,4
148,4
149,4
150,-1
151,-1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,4
169,4
170,4
171,4
172,4
173,6
174,6
175,1
176,1
177,4
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,4
196,1
197,1
198,4
199,4
200,4
201,-1
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,6
210,6
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,6
223,4
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,-1
234,4
235,4
236,0
237,0
238,8
239,2
240,2
241,8
242,8
243,-1
244,-1
245,-1
246,4
247,4
248,4
249,-1
250,-1
251,-1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,4
262,4
263,4
264,4
265,4
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,-1
293,4
294,4
295,4
296,2
297,2
298,6
299,4
300,6
301,6
302,4
303,4
304,4
305,4
306,4
307,4
308,4
309,4
310,4
311,4
312,4
313,0
314,8
315,4
316,4
317,4
318,4
319,4
320,4
321,4
322,4
323,4
324,4
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,4
335,4
336,4
337,-1
338,-1
339,4
340,4
341,4
342,4
343,-1
344,-1
345,1
346,1
347,1
348,1
349,4
350,4
351,4
352,4
353,4
354,4
355,4
356,4
357,4
358,4
359,4
360,4
361,4
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,1
370,6
371,4
372,4
373,4
374,-1
375,-1
376,-1
377,-1
378,-1
379,-1
380,8
381,0
382,-1
383,-1
384,-1
385,-1
386,-1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,4
397,4
398,4
399,4
400,4
401,4
402,4
403,4
404,4
405,4
406,4
407,4
408,1
409,1
410,1
411,1
412,4
413,8
414,0
415,1
416,8
417,4
418,4
419,4
420,4
421,4
422,4
423,4
424,4
425,4
426,4
427,4
428,4
429,4
430,4
431,6
432,6
433,4
434,4
435,4
436,-1
437,-1
438,4
439,4
440,8
441,4
442,4
443,4
444,4
445,4
446,1
447,1
448,1
449,4
450,4
451,4
452,4
453,4
454,4
455,4
456,4
457,4
458,4
459,4
460,4
461,4
462,-1
463,4
464,4
465,4
466,2
467,2
468,1
469,4
470,1
471,1
472,4
473,4
474,-1
475,0
476,4
477,4
478,8
479,-1
480,-1
481,-1
482,-1
483,-1
484,-1
485,4
486,-1
487,-1
488,8
489,-1
490,-1
491,-1
492,-1
493,-1
494,-1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,4
505,4
506,4
507,4
508,4
509,4
510,4
511,1
512,1
513,1
514,1
515,1
516,1
517,4
518,4
519,4
520,4
521,4
522,4
523,4
524,4
525,4
526,4
527,4
528,4
529,4
530,4
531,4
532,2
533,2
534,2
535,4
536,4
537,4
538,0
539,0
540,4
541,4
542,4
543,4
544,4
545,4
546,4
547,4
548,8
549,8
550,4
551,4
552,4
553,4
554,4
555,4
556,4
557,4
558,4
559,4
560,4
561,4
562,4
563,4
564,1
565,1
566,1
567,1
568,4
569,4
570,1
571,1
572,6
573,6
574,6
575,6
576,6
577,4
578,4
579,4
580,4
581,4
582,4
583,4
584,4
585,4
586,4
587,4
